Time [s],TX hub @ 115200,RX hub @ 115200
2.467534250,1,1
2.467551750,1,0
2.467569000,1,1
2.467881250,1,0
2.467898500,1,1
2.467907250,1,0
2.467916000,1,1
2.467933250,1,0
2.467950500,1,1
2.467968000,1,0
2.467976500,1,1
2.467985250,1,0
2.468046000,1,1
2.468054750,1,0
2.468132750,1,1
2.468453500,1,0
2.468531500,1,1
2.468540250,1,0
2.468566250,1,1
2.468575000,1,0
2.468583750,1,1
2.468601000,1,0
2.468609750,1,1
2.468627000,1,0
2.468635750,1,1
2.468653000,1,0
2.468687750,1,1
2.468713750,1,0
2.468791750,1,1
2.468800500,1,0
2.468878500,1,1
2.468887250,1,0
2.468913250,1,1
2.468922000,1,0
2.468930500,1,1
2.468948000,1,0
2.468956500,1,1
2.468974000,1,0
2.468982500,1,1
2.469000000,1,0
2.469034500,1,1
2.469043250,1,0
2.469052000,1,1
2.469060750,1,0
2.469086750,1,1
2.469095250,1,0
2.469112750,1,1
2.469919250,1,0
2.469936500,1,1
2.469945250,1,0
2.469953750,1,1
2.469971250,1,0
2.469988500,1,1
2.470006000,1,0
2.470023250,1,1
2.470032000,1,0
2.470084000,1,1
2.470092750,1,0
2.470170750,1,1
2.470179250,1,0
2.470257500,1,1
2.470266000,1,0
2.470300750,1,1
2.470309500,1,0
2.470326750,1,1
2.470352750,1,0
2.470370250,1,1
2.470378750,1,0
2.470413500,1,1
2.470439500,1,0
2.470517500,1,1
2.470526250,1,0
2.470604250,1,1
2.470613000,1,0
2.470647750,1,1
2.470656500,1,0
2.470673750,1,1
2.470699750,1,0
2.470717000,1,1
2.470725750,1,0
2.470760500,1,1
2.470769000,1,0
2.470777750,1,1
2.470786500,1,0
2.470795000,1,1
2.470821250,1,0
2.470838500,1,1
2.471965750,1,0
2.471983250,1,1
2.471991750,1,0
2.472000500,1,1
2.472018000,1,0
2.472035250,1,1
2.472052500,1,0
2.472061250,1,1
2.472078500,1,0
2.472130500,1,1
2.472139250,1,0
2.472217250,1,1
2.472226000,1,0
2.472304000,1,1
2.472312750,1,0
2.472338750,1,1
2.472347500,1,0
2.472356000,1,1
2.472373500,1,0
2.472382000,1,1
2.472399500,1,0
2.472408000,1,1
2.472425500,1,0
2.472460250,1,1
2.472486250,1,0
2.472564250,1,1
2.472573000,1,0
2.472651000,1,1
2.472659500,1,0
2.472685500,1,1
2.472694250,1,0
2.472703000,1,1
2.472720250,1,0
2.472729000,1,1
2.472746250,1,0
2.472755000,1,1
2.472772250,1,0
2.472807000,1,1
2.472815750,1,0
2.472824250,1,1
2.472833000,1,0
2.472850500,1,1
2.472867750,1,0
2.472885000,1,1
2.474012500,1,0
2.474030000,1,1
2.474038750,1,0
2.474056000,1,1
2.474064750,1,0
2.474082000,1,1
2.474099250,1,0
2.474125250,1,1
2.474134000,1,0
2.474177500,1,1
2.474186000,1,0
2.474212000,1,1
2.474220750,1,0
2.474246750,1,1
2.474255500,1,0
2.474264000,1,1
2.474272750,1,0
2.474281500,1,1
2.474290250,1,0
2.474298750,1,1
2.474307500,1,0
2.474333500,1,1
2.474342250,1,0
2.474350750,1,1
2.474359500,1,0
2.474368250,1,1
2.474394250,1,0
2.474420250,1,1
2.474429000,1,0
2.474437500,1,1
2.474446250,1,0
2.474524250,1,1
2.474533000,1,0
2.474541750,1,1
2.474576250,1,0
2.474585000,1,1
2.474593750,1,0
2.474611000,1,1
2.476033500,1,0
2.476050750,1,1
2.476059500,1,0
2.476068250,1,1
2.476076750,1,0
2.476102750,1,1
2.476120250,1,0
2.476129000,1,1
2.476137500,1,0
2.476146250,1,1
2.476155000,1,0
2.476198250,1,1
2.476207000,1,0
2.476241750,1,1
2.476250250,1,0
2.476259000,1,1
2.476267750,1,0
2.476285000,1,1
2.476293750,1,0
2.476328250,1,1
2.476337000,1,0
2.476345750,1,1
2.476363000,1,0
2.476371750,1,1
2.476380500,1,0
2.476423750,1,1
2.476441250,1,0
2.476458500,1,1
2.478566250,1,0
2.478583500,1,1
2.478592250,1,0
2.478609500,1,1
2.478618250,1,0
2.478635500,1,1
2.478653000,1,0
2.478722250,1,1
2.478739750,1,0
2.478748250,1,1
2.478757000,1,0
2.478817750,1,1
2.478826500,1,0
2.478843750,1,1
2.478852500,1,0
2.478904500,1,1
2.478913250,1,0
2.478921750,1,1
2.478939250,1,0
2.478947750,1,1
2.478956500,1,0
2.478991250,1,1
2.479000000,1,0
2.479078000,1,1
2.479086500,1,0
2.479095250,1,1
2.479104000,1,0
2.479112500,1,1
